journey_date,train_number,section_number,from_station,from_code,to_station,to_code,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,scheduled_running_time_min,actual_running_time_min,section_delay_min,departure_delay_min,arrival_delay_min,delay_change_min,recovery_min
2026-07-30,12705,1,Guntur Jn,GNT,Mangalagiri,MAG,2026-07-30 15:35:00+05:30,2026-07-30 15:56:00+05:30,2026-07-30 15:42:20+05:30,2026-07-30 15:57:58+05:30,21.0,15.633333333333333,-5.366666666666667,8.0,1.0,-7.0,7.0
2026-07-30,12705,2,Mangalagiri,MAG,Vijayawada Jn,BZA,2026-07-30 15:57:00+05:30,2026-07-30 16:20:00+05:30,2026-07-30 16:04:43+05:30,2026-07-30 16:21:08+05:30,23.0,16.416666666666668,-6.583333333333332,6.0,3.0,-3.0,3.0
2026-07-30,12705,3,Vijayawada Jn,BZA,Madhira,MDR,2026-07-30 16:25:00+05:30,2026-07-30 17:14:00+05:30,,2026-07-30 17:18:13+05:30,49.0,,,,2.0,,
2026-07-30,12705,4,Madhira,MDR,Khammam,KMT,2026-07-30 17:15:00+05:30,2026-07-30 17:49:00+05:30,2026-07-30 17:21:15+05:30,2026-07-30 18:07:11+05:30,34.0,45.93333333333333,11.93333333333333,8.0,20.0,12.0,0.0
2026-07-30,12705,5,Khammam,KMT,Dornakal Jn,DKJ,2026-07-30 17:50:00+05:30,2026-07-30 18:09:00+05:30,2026-07-30 18:17:27+05:30,2026-07-30 18:33:41+05:30,19.0,16.233333333333334,-2.7666666666666657,25.0,24.0,-1.0,1.0
2026-07-30,12705,6,Dornakal Jn,DKJ,Mahbubabad,MABD,2026-07-30 18:10:00+05:30,2026-07-30 18:29:00+05:30,2026-07-30 18:40:59+05:30,2026-07-30 18:57:10+05:30,19.0,16.183333333333334,-2.8166666666666664,29.0,26.0,-3.0,3.0
2026-07-30,12705,7,Mahbubabad,MABD,Nekonda,NKD,2026-07-30 18:30:00+05:30,2026-07-30 18:54:00+05:30,2026-07-30 18:59:26+05:30,2026-07-30 19:22:25+05:30,24.0,22.983333333333334,-1.0166666666666657,29.0,26.0,-3.0,3.0
2026-07-30,12705,8,Nekonda,NKD,Warangal,WL,2026-07-30 18:55:00+05:30,2026-07-30 19:28:00+05:30,2026-07-30 19:25:53+05:30,2026-07-30 19:47:01+05:30,33.0,21.133333333333333,-11.866666666666667,31.0,19.0,-12.0,12.0
2026-07-30,12705,9,Warangal,WL,Kazipet Jn,KZJ,2026-07-30 19:30:00+05:30,2026-07-30 19:48:00+05:30,2026-07-30 20:01:43+05:30,2026-07-30 20:09:09+05:30,18.0,7.433333333333334,-10.566666666666666,30.0,23.0,-7.0,7.0
2026-07-30,12705,10,Kazipet Jn,KZJ,Ghanpur,GNP,2026-07-30 19:50:00+05:30,2026-07-30 20:19:00+05:30,2026-07-30 20:17:21+05:30,2026-07-30 20:36:03+05:30,29.0,18.7,-10.3,28.0,16.0,-12.0,12.0
